program_id,program_name,deskripsi,prospek_kerja,mata_kuliah_unggulan,durasi_studi,jenjang,kelompok_prodi,akreditasi_umum,top_kampus_prodi,est_biaya,list_kampus_prodi
37,Pendidikan Non Formal,"Mempelajari penyelenggaraan pendidikan di luar sistem sekolah formal, seperti pemberdayaan masyarakat, kursus, pelatihan, dan pendidikan keaksaraan.","Pamong Belajar, Fasilitator Pemberdayaan Masyarakat, Pengelola LKP/PKBM, Instruktur Pelatihan, Pekerja Sosial","Konsep Dasar PLS, Andragogi (Pendidikan Orang Dewasa), Manajemen Pelatihan, Pemberdayaan Masyarakat, Evaluasi Program PNF",4 tahun (S1),S1,Pendidikan / Sosial,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
38,Pendidikan Pancasila Dan Kewarganegaraan,"Mempelajari ilmu negara, politik, hukum, dan tata negara untuk mendidik generasi muda agar memiliki kesadaran berbangsa dan bernegara.","Guru PPKn, Peneliti Sosial Politik, Staf Pemerintahan, Aktivis LSM/NGO, Fasilitator Demokrasi","Ilmu Negara, Hukum Tata Negara, Pendidikan Anti Korupsi, Hak Asasi Manusia, Strategi Pembelajaran PPKn",4 tahun (S1),S1,Pendidikan / Soshum,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
39,Pendidikan Sejarah,"Mempelajari rentetan peristiwa masa lampau secara kronologis, historiografi, serta metode penyampaian materi sejarah yang interaktif di sekolah.","Guru Sejarah, Pemandu Museum, Peneliti Sejarah, Arsiparis, Jurnalis Sejarah/Penulis Buku","Pengantar Ilmu Sejarah, Sejarah Indonesia, Sejarah Dunia, Historiografi, Perencanaan Pembelajaran Sejarah",4 tahun (S1),S1,Pendidikan / Soshum,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
40,Pendidikan Seni Drama Tari Dan Musik,"Mempelajari teori dan praktik seni pertunjukan yang mencakup drama, tari, dan musik, serta metodologi pengajarannya di sekolah.","Guru Seni Budaya, Koreografer, Sutradara Teater, Pelatih Paduan Suara, Seniman Pertunjukan","Teori Dasar Musik, Dasar-Dasar Koreografi, Penyutradaraan, Manajemen Seni Pertunjukan, Strategi Pembelajaran Seni",4 tahun (S1),S1,Pendidikan / Seni,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
41,Pendidikan Seni Rupa,"Mempelajari teknik penciptaan karya seni visual (lukis, patung, kriya, desain) dipadukan dengan ilmu kependidikan untuk menjadi pendidik seni.","Guru Seni Rupa, Seniman, Kurator Seni, Ilustrator, Pengelola Galeri Seni","Nirmana, Sejarah Seni Rupa, Seni Lukis Dasar, Seni Kriya, Metodologi Pengajaran Seni Rupa",4 tahun (S1),S1,Pendidikan / Seni,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
42,Pendidikan Sosiologi,"Mempelajari interaksi sosial, struktur masyarakat, dan fenomena sosial budaya beserta cara mengajarkannya di jenjang sekolah menengah.","Guru Sosiologi, Peneliti Sosial, Pekerja Sosial, Penyuluh Masyarakat, Aktivis LSM","Pengantar Sosiologi, Sosiologi Pendidikan, Patologi Sosial, Perubahan Sosial Budaya, Strategi Pembelajaran Sosiologi",4 tahun (S1),S1,Pendidikan / Soshum,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
43,Pendidikan Tata Rias Dan Kecantikan,"Mempelajari seni merias wajah, penataan rambut, perawatan kulit, serta ilmu keguruan untuk mengajar di SMK program keahlian tata rias.","Guru SMK Tata Rias, Make Up Artist (MUA), Beauty Vlogger, Pengusaha Salon/Klinik Kecantikan, Konsultan Kecantikan","Anatomi Fisiologi Kulit dan Rambut, Tata Rias Wajah Dasar, Tata Rias Pengantin, Perawatan Kulit, Strategi Pembelajaran Tata Rias",4 tahun (S1),S1,Pendidikan / Vokasional,Baik Sekali / A / B,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
44,Pendidikan Teknik Bangunan,"Mempelajari ilmu teknik sipil dasar, konstruksi bangunan, menggambar teknik, serta ilmu pendidik untuk menjadi guru SMK bidang bangunan.","Guru SMK (Teknik Bangunan), Drafter, Kontraktor/Pemborong, Pengawas Proyek (Surveyor), Estimator Bangunan","Mekanika Teknik, Menggambar Rekayasa, Konstruksi Bangunan Gedung, Ilmu Ukur Tanah, Perencanaan Pembelajaran Kejuruan",4 tahun (S1),S1,Pendidikan / Teknik,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.500.000 - Rp 7.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Negeri Padang (UNP), Universitas Negeri Makasar (UNM)"
45,Pendidikan Teknik Elektro,"Mempelajari konsep dasar kelistrikan, sistem tenaga, instalasi listrik, dan kontrol beserta metode pengajarannya untuk SMK.","Guru SMK (Teknik Listrik), Teknisi Listrik, Trainer Industri Listrik, Perencana Instalasi, Pengusaha Bidang Kelistrikan","Rangkaian Listrik, Instalasi Penerangan, Mesin-Mesin Listrik, Sistem Kontrol, Evaluasi Pembelajaran Pendidikan Teknik",4 tahun (S1),S1,Pendidikan / Teknik,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.500.000 - Rp 7.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Negeri Padang (UNP), Universitas Negeri Makasar (UNM)"
46,Pendidikan Teknik Elektronika,"Fokus pada komponen elektronika, sistem mikrokontroler, robotika dasar, dan instrumentasi beserta keterampilan mengajarkannya di SMK.","Guru SMK (Elektronika/Audio Video), Teknisi Elektronika, Trainer Robotika, Perancang Sistem Elektronik, Wirausaha Servis","Rangkaian Elektronika, Elektronika Digital, Mikrokontroler, Sistem Audio Video, Media Pembelajaran Interaktif",4 tahun (S1),S1,Pendidikan / Teknik,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.500.000 - Rp 7.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Negeri Padang (UNP), Universitas Negeri Makasar (UNM)"
47,Pendidikan Teknik Informatika,"Menggabungkan ilmu rekayasa perangkat lunak, jaringan komputer, dan multimedia dengan ilmu keguruan untuk mendidik guru TIK/RPL di SMK/SMA.","Guru SMK (RPL/TKJ/Multimedia), Guru TIK, Web Developer, Network Administrator, Instructional Designer","Algoritma & Pemrograman, Basis Data, Jaringan Komputer, Interaksi Manusia dan Komputer, Desain Pembelajaran TIK",4 tahun (S1),S1,Pendidikan / Sains Komputer,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.500.000 - Rp 7.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Negeri Padang (UNP), Universitas Negeri Makasar (UNM)"
48,Pendidikan Teknik Mesin,"Mempelajari perancangan mekanik, proses manufaktur, konversi energi, dan otomotif untuk mencetak pendidik bidang keahlian teknik mesin.","Guru SMK (Teknik Pemesinan/Otomotif), Teknisi Mesin, Instruktur BLK, Drafter Mekanik, Pengusaha Bengkel","Menggambar Teknik Mesin, Proses Produksi, Termodinamika, Elemen Mesin, Metodologi Pembelajaran Kejuruan",4 tahun (S1),S1,Pendidikan / Teknik,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.500.000 - Rp 7.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Negeri Padang (UNP), Universitas Negeri Makasar (UNM)"
49,Pendidikan Vokasional Desain Fashion,"Mempelajari perancangan busana, pembuatan pola, menjahit, manajemen bisnis fashion, yang dipadukan dengan keterampilan mengajar vokasi.","Guru SMK (Tata Busana), Fashion Designer, Pattern Maker, Fashion Stylist, Pengusaha Butik","Dasar Desain Fashion, Konstruksi Pola, Teknik Menjahit, Sejarah Mode, Metodologi Pembelajaran Vokasi",4 tahun (S1/D4),S1 / D4,Pendidikan / Vokasi,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.500.000 - Rp 7.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Negeri Padang (UNP), Universitas Negeri Makasar (UNM)"
50,Pendidikan Vokasional Seni Kuliner,"Mempelajari ilmu tata boga, pengolahan makanan, gizi, serta manajemen restoran untuk mencetak guru vokasi dan tenaga profesional kuliner.","Guru SMK (Tata Boga), Chef, Foodpreneur, Pengelola Katering, Food Stylist","Pengolahan Makanan Kontinental, Makanan Nusantara, Bakery & Pastry, Manajemen Gizi, Strategi Pembelajaran Kuliner",4 tahun (S1/D4),S1 / D4,Pendidikan / Vokasi,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.500.000 - Rp 7.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Negeri Padang (UNP), Universitas Negeri Makasar (UNM)"
51,Pendidikan Musik,"Mempelajari teori musik, praktik vokal atau instrumen, sejarah musik, serta ilmu keguruan untuk mengajarkan seni musik secara akademis.","Guru Seni Budaya (Musik), Instruktur Vokal/Instrumen, Dirigen (Conductor), Musisi, Arus Pendidik Seni","Teori Musik, Mayor Instrumen/Vokal, Paduan Suara, Solfegio, Metodologi Pengajaran Musik",4 tahun (S1),S1,Pendidikan / Seni,Unggul / A / B,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
52,Pendidikan Tari,"Fokus pada penguasaan teknik menari (tradisional maupun modern), koreografi, dan ilmu pedagogi untuk mendidik siswa dalam bidang seni tari.","Guru Seni Tari, Koreografer, Penari Profesional, Pengelola Sanggar Tari, Kritikus Tari","Praktik Tari Nusantara, Koreografi, Tata Rias dan Busana Tari, Tinjauan Seni, Metodologi Pembelajaran Tari",4 tahun (S1),S1,Pendidikan / Seni,Unggul / A / B,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
53,Penginderaan Jauh Dan Sistem Informasi Geografis,"Mempelajari pemetaan, analisis spasial, dan ekstraksi data keruangan dari citra satelit atau foto udara untuk pengelolaan lingkungan dan wilayah.","Analis SIG (GIS Analyst), Surveyor Pemetaan, Ahli Penginderaan Jauh, Konsultan Lingkungan, Staf Instansi Pemerintah (BIG/BPN)","Fotogrametri, Sistem Informasi Geografis Dasar, Penginderaan Jauh Digital, Kartografi, Pemodelan Spasial",3-4 tahun,D3 / D4 / S1,Sains / Teknik,Unggul / A,"Universitas Gadjah Mada (UGM), Universitas Indonesia (UI), Institut Teknologi Bandung (ITB)",Rp 5.000.000 - Rp 11.000.000,"UGM, UI, ITB, Institut Teknologi Sepuluh Nopember (ITS), IPB University, Universitas Padjadjaran (UNPAD)"
54,Perpustakaan Dan Ilmu Informasi,"Mempelajari sistem pengelolaan, penyimpanan, pengorganisasian, dan penyebaran informasi secara manual maupun digital di era kiwari.","Pustakawan, Information Specialist, Document Controller, Arsiparis, Manajer Basis Data","Klasifikasi dan Katalogisasi, Manajemen Perpustakaan, Literasi Informasi, Preservasi Digital, Sistem Temu Kembali Informasi",4 tahun (S1),S1,Soshum / Humaniora,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Padjadjaran (UNPAD)",Rp 3.500.000 - Rp 8.500.000,"UI, UGM, UNPAD, Universitas Airlangga (UNAIR), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB)"
55,Psikologi,"Mempelajari perilaku, proses mental, kepribadian, serta pemikiran manusia dalam konteks klinis, sosial, pendidikan, maupun industri.","HRD / Recruiter, Asisten Psikolog, Konselor, Peneliti Perilaku, Fasilitator Pelatihan","Psikologi Klinis, Biopsikologi, Psikologi Perkembangan, Psikodiagnostika, Psikologi Industri & Organisasi",4 tahun (S1),S1,Soshum / Kesehatan,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
56,Sastra Indonesia,"Kajian mendalam tentang karya sastra, linguistik, dan perkembangan budaya Indonesia untuk memahami struktur dan sejarah bahasa nusantara.","Penulis, Editor, Copywriter, Leksikografer, Jurnalis, Kritikus Sastra","Sejarah Sastra, Fonologi, Morfologi, Sintaksis, Kritik Sastra, Semantik",4 tahun (S1),S1,Sastra / Humaniora,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Padjadjaran (UNPAD)",Rp 3.500.000 - Rp 8.500.000,"UI, UGM, UNPAD, Universitas Airlangga (UNAIR), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB)"
57,Sastra Inggris,"Mempelajari karya sastra, tata bahasa, dan kebudayaan dari negara-negara berbahasa Inggris, serta kajian penerjemahan lisan dan tulisan.","Penerjemah, Editor, Content Writer, Diplomat, Liasion Officer, Copywriter","Prose and Poetry, Drama, English Syntax, Translation, Cross-Cultural Understanding",4 tahun (S1),S1,Sastra / Humaniora,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Padjadjaran (UNPAD)",Rp 3.500.000 - Rp 8.500.000,"UI, UGM, UNPAD, Universitas Airlangga (UNAIR), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB)"
58,Statistika,"Mempelajari cara mengumpulkan, mengolah, menganalisis, dan memodelkan data untuk dasar pengambilan keputusan di berbagai bidang.","Data Analyst, Data Scientist, Aktuaris, Peneliti, Staf Analis Data Pemerintah (BPS)","Teori Peluang, Metode Statistika, Analisis Regresi, Statistika Matematika, Data Mining",4 tahun (S1),S1,Sains (MIPA),Unggul / A,"Universitas Gadjah Mada (UGM), Universitas Indonesia (UI), Institut Teknologi Bandung (ITB)",Rp 5.000.000 - Rp 11.000.000,"UGM, UI, ITB, Institut Teknologi Sepuluh Nopember (ITS), IPB University, Universitas Padjadjaran (UNPAD)"
59,Teknik Elektro,"Mempelajari prinsip kelistrikan, elektromagnetisme, sistem kendali, perangkat keras, dan telekomunikasi untuk sistem teknologi cerdas.","Electrical Engineer, Control Engineer, Perancang Sistem Embedded, Teknisi Telekomunikasi, Pegawai BUMN (PLN)","Rangkaian Listrik, Medan Elektromagnetik, Sistem Kendali, Elektronika Analog & Digital, Pengolahan Sinyal Digital",4 tahun (S1),S1,Teknik / Sains Terapan,Unggul / A,"Institut Teknologi Bandung (ITB), Universitas Gadjah Mada (UGM), Universitas Indonesia (UI)",Rp 6.000.000 - Rp 15.000.000,"ITB, UGM, UI, Institut Teknologi Sepuluh Nopember (ITS), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Hasanuddin (UNHAS)"
60,Teknik Elektro Industri,"Fokus terapan pada teknologi kelistrikan di skala produksi besar, termasuk otomatisasi industri, PLC, dan pemeliharaan mesin pabrik.","Teknisi Otomasi Industri, Maintenance Engineer, PLC Programmer, Supervisor Produksi, Teknisi Instrumentasi","Programmable Logic Controller (PLC), Elektronika Daya, Sistem Mekatronika, Pneumatik & Hidrolik, Perawatan Mesin Industri",3-4 tahun,D3 / D4,Teknik / Vokasi,Baik Sekali / A,"Politeknik Elektronika Negeri Surabaya (PENS), Politeknik Negeri Bandung (POLBAN), Universitas Negeri Yogyakarta (UNY)",Rp 4.000.000 - Rp 9.000.000,"PENS, POLBAN, UNY, Politeknik Negeri Malang (POLINEMA), Universitas Sebelas Maret (UNS), Universitas Negeri Malang (UM)"
61,Teknik Elektronika,"Mempelajari komponen listrik arus lemah, sirkuit terpadu, semikonduktor, mikrokontroler, dan perancangan sistem elektronik atau robotika.","Electronics Engineer, Perancang Sistem Embedded, Teknisi Perangkat Keras, Teknisi Otomasi, Hardware Designer","Rangkaian Elektronika, Elektronika Digital, Sistem Mikroprosesor & Mikrokontroler, Pemrosesan Sinyal, Elektronika Daya",3-4 tahun,D3 / D4 / S1,Teknik / Vokasi,Unggul / A,"Politeknik Elektronika Negeri Surabaya (PENS), Politeknik Negeri Bandung (POLBAN), Universitas Negeri Yogyakarta (UNY)",Rp 4.000.000 - Rp 9.000.000,"PENS, POLBAN, UNY, Politeknik Negeri Malang (POLINEMA), Universitas Sebelas Maret (UNS), Universitas Negeri Malang (UM)"
62,Teknik Geologi,"Mempelajari komposisi, struktur, sifat fisik, sejarah pembentukan bumi, serta eksplorasi sumber daya alam seperti mineral dan migas.","Geologist (Ahli Geologi), Ahli Eksplorasi Migas/Tambang, Konsultan Geoteknik, Analis Mitigasi Bencana, Peneliti Geosains","Petrologi, Mineralogi, Geologi Struktur, Stratigrafi, Geologi Minyak dan Gas Bumi",4 tahun (S1),S1,Teknik / Sains Kebumian,Unggul / A,"Institut Teknologi Bandung (ITB), Universitas Gadjah Mada (UGM), UPN ""Veteran"" Yogyakarta",Rp 7.500.000 - Rp 18.000.000,"ITB, UGM, UPN ""Veteran"" Yogyakarta, Universitas Hasanuddin (UNHAS), Universitas Sriwijaya, Universitas Trisakti"
63,Teknik Listrik,"Fokus terapan pada pembangkitan, transmisi, distribusi tenaga listrik (arus kuat), serta instalasi kelistrikan komersial maupun industri.","Teknisi Kelistrikan, Supervisor Instalasi Listrik, Power Engineer, Maintenance Engineer, Pegawai BUMN (PLN)","Instalasi Listrik, Mesin Listrik, Transmisi dan Distribusi Daya, Proteksi Sistem Tenaga, Peralatan Tegangan Tinggi",3-4 tahun,D3 / D4,Teknik / Vokasi,Unggul / A / B,"Politeknik Elektronika Negeri Surabaya (PENS), Politeknik Negeri Bandung (POLBAN), Universitas Negeri Yogyakarta (UNY)",Rp 4.000.000 - Rp 9.000.000,"PENS, POLBAN, UNY, Politeknik Negeri Malang (POLINEMA), Universitas Sebelas Maret (UNS), Universitas Negeri Malang (UM)"
64,Teknik Mesin,"Mempelajari prinsip fisika untuk analisis, desain, manufaktur, dan pemeliharaan sistem mekanik, konversi energi, serta ilmu material.","Mechanical Engineer, Perancang Mesin, Production Engineer, Ahli Metalurgi, Maintenance Manager","Termodinamika, Kinematika dan Dinamika, Mekanika Fluida, Elemen Mesin, Proses Manufaktur",4 tahun (S1),S1 / D4 / D3,Teknik,Unggul / A,"Institut Teknologi Bandung (ITB), Universitas Gadjah Mada (UGM), Universitas Indonesia (UI)",Rp 6.000.000 - Rp 15.000.000,"ITB, UGM, UI, Institut Teknologi Sepuluh Nopember (ITS), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Hasanuddin (UNHAS)"
65,Teknik Otomotif,"Mempelajari perancangan, pengembangan, produksi, dan perawatan kendaraan bermotor termasuk sistem mesin, kelistrikan, dan sasis otomotif.","Automotive Engineer, Service Advisor, Teknisi Ahli Otomotif, Perancang Komponen Kendaraan, Quality Control Pabrik","Motor Bakar, Sasis Otomotif, Kelistrikan Kendaraan, Teknologi Alat Berat, Perancangan Kendaraan",3-4 tahun,D3 / D4 / S1,Teknik / Vokasi,Unggul / A / B,"Politeknik Elektronika Negeri Surabaya (PENS), Politeknik Negeri Bandung (POLBAN), Universitas Negeri Yogyakarta (UNY)",Rp 4.000.000 - Rp 9.000.000,"PENS, POLBAN, UNY, Politeknik Negeri Malang (POLINEMA), Universitas Sebelas Maret (UNS), Universitas Negeri Malang (UM)"
66,Teknik Pertambangan,"Mempelajari proses eksplorasi, penambangan (eksploitasi), pemrosesan bahan galian (metalurgi), dan manajemen lingkungan tambang.","Mining Engineer, Mine Planner, Ahli Keselamatan Tambang (HSE), Konsultan Pertambangan, Inspektur Tambang","Geologi Fisik, Mekanika Batuan, Perencanaan Tambang, Teknik Peledakan, Metalurgi Ekstraktif",4 tahun (S1),S1,Teknik,Unggul / A,"Institut Teknologi Bandung (ITB), Universitas Gadjah Mada (UGM), UPN ""Veteran"" Yogyakarta",Rp 7.500.000 - Rp 18.000.000,"ITB, UGM, UPN ""Veteran"" Yogyakarta, Universitas Hasanuddin (UNHAS), Universitas Sriwijaya, Universitas Trisakti"
67,Teknik Sipil,"Mempelajari proses perencanaan, perancangan, konstruksi, dan pemeliharaan infrastruktur seperti gedung, jalan, jembatan, dan bendungan.","Civil Engineer, Structural Engineer, Manajer Proyek Konstruksi, Quantity Surveyor, Kontraktor/Konsultan Perencana","Statika, Mekanika Tanah, Struktur Beton Bertulang, Manajemen Konstruksi, Rekayasa Lalu Lintas",4 tahun (S1),S1,Teknik,Unggul / A,"Institut Teknologi Bandung (ITB), Universitas Gadjah Mada (UGM), Universitas Indonesia (UI)",Rp 6.000.000 - Rp 15.000.000,"ITB, UGM, UI, Institut Teknologi Sepuluh Nopember (ITS), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Hasanuddin (UNHAS)"
68,Teknologi Kosmetik,"Fokus mempelajari ilmu kimia dan farmasi terapan untuk formulasi, inovasi, uji keamanan, dan produksi produk perawatan kulit serta kosmetik.","Formulator Kosmetik, R&D Kosmetik, Quality Control/Assurance Industri Kosmetik, Evaluator Produk Kecantikan, Beautypreneur","Formulasi Kosmetik, Bahan Baku Kosmetik, Uji Keamanan Kosmetik, Teknologi Pembuatan Kosmetik, CPKB (Cara Pembuatan Kosmetik yang Baik)",3-4 tahun,D3 / D4 / S1,Teknik / Farmasi / Vokasi,Baik Sekali / B / A,"Universitas Padjadjaran (UNPAD), Universitas Indonesia (UI), Universitas Ahmad Dahlan (UAD)",Rp 6.000.000 - Rp 15.000.000,"UNPAD, UI, UAD, IPB University, Universitas Surabaya (UBAYA), Universitas Megarezky"
